Id;System;Domain;Year;Citations;Count;Reference
107;KEPLER;Language;2020;2,56E+02;256;KEPLER: A Unified Model for Knowledge Embedding and Pre- trained Language Representation.
108;CPM-Large;Language;2020;4,90E+01;49;CPM: A Large-scale Generative Chinese Pre-trained Language Model
109;AraGPT2-Mega;Language;2020;2,40E+01;24;AraGPT2: Pre-Trained Transformer for Arabic Language Generation
110;ELECTRA;Language;2020;;;ELECTRA: pre-training text encoders as discriminators rather than generators
111;Transformer ELMo;Language;2019;3,08E+02;308;Dissecting Contextual Word Embeddings: Architecture and Representation
112;MT-DNN;Language;2019;5,53E+02;553;Multi-Task Deep Neural Networks for Natural Language Understanding
113;GPT-2;Language;2019;1,70E+03;1700;Language Models are Unsupervised Multitask Learners
114;;Language;2019;1,41E+03;1410;SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition
115;Grover-Mega;Language;2019;5,43E+02;543;Defending Against Neural Fake News
116;XLM;Language;2019;6,78E+02;678;Cross-lingual Language Model Pretraining
117;XLNet;Language;2019;3,06E+03;3060;XLNet: Generalized Autoregressive Pretraining for Language Understanding
118;RoBERTa;Language;2019;1,51E+03;1510;RoBERTa: A Robustly Optimized BERT Pretraining Approach
119;Megatron-BERT;Language;2019;5,57E+02;557;Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism
120;Megatron-LM (Original, 8.3B);Language;2019;5,57E+02;557;Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism
121;ALBERT;Language;2019;1,66E+03;1660;ALBERT: A Lite BERT for Self-supervised Learning of Language Representations
122;DistilBERT;Language;2019;8,95E+02;895;DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter
123;T5-11B;Language;2019;1,54E+03;1540;Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
124;T5-3B;Language;2019;1,54E+03;1540;Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
125;BART-large;Language;2019;1,01E+03;1010;BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension
126;ULM-FiT;Language;2018;1,94E+03;1940;Universal Language Model Fine-tuning for Text Classification
127;ELMo;Language;2018;7,48E+03;7480;Deep contextualized word representations
128;Chinese - English translation;Language;2018;5,30E+02;530;Achieving Human Parity on Automatic Chinese to English News Translation
129;GPT;Language;2018;2,26E+03;2260;Improving Language Understanding by Generative Pre-Training
130;BERT-Large;Language;2018;2,38E+04;23800;BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
131;GPipe (Transformer);Language;2018;4,86E+02;486;GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism
132;MoE;Language;2017;6,87E+02;687;Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer
133;Transformer;Language;2017;2,52E+04;25200;Attention Is All You Need
134;DMN;Language;2016;1,19E+03;1190;Ask Me Anything: Dynamic Memory Networks for Natural Language Processing
135;;Language;2016;3,09E+03;3090;Bag of Tricks for Efficient Text Classification
136;;Language;2016;6,35E+03;6350;Enriching Word Vectors with Subword Information
137;Part-of-sentence tagging model;Language;2016;4,13E+03;4130;Layer Normalization.
138;Named Entity Recognition model;Language;2016;4,13E+03;4130;Layer Normalization
139;GNMT;Language;2016;4,50E+03;4500;Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation
140;Constituency-Tree LSTM;Language;2015;2,62E+03;2620;Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks
141;BPE;Language;2015;4,06E+03;4060;Neural Machine Translation of Rare Words with Subword Units
142;GloVe (6B);Language;2014;2,25E+04;22500;GloVe: Global Vectors for Word Representation
143;GloVe (32B);Language;2014;2,25E+04;22500;GloVe: Global Vectors for Word Representation
144;DBNs;Language;2014;4,45E+02;445;Application of Deep Belief Networks for Natural Language Understanding
145;GRUs;Language;2014;1,50E+04;15000;Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation
146;RNNsearch-50*;Language;2014;1,92E+04;19200;Neural Machine Translation by Jointly Learning to Align and Translate
147;Seq2Seq LSTM;Language;2014;1,57E+04;15700;Sequence to Sequence Learning with Neural Networks
148;;Language;2013;3,63E+03;3630;Linguistic Regularities in Continuous Space Word Representations
149;Word2Vec (large);Language;2013;2,87E+04;28700;Distributed Representations of Words and Phrases and their Compositionality
150;Word2Vec (small);Language;2013;2,87E+04;28700;Distributed Representations of Words and Phrases and their Compositionality
151;;Language;2012;4,89E+02;489;Syntactic Annotations for the Google Books NGram Corpus
152;MV-RNN;Language;2012;1,46E+03;1460;Semantic compositionality through recursive matrix-vector spaces
153;;Language;2011;1,24E+03;1240;Extensions of recurrent neural network language model
154;;Language;2011;3,16E+02;316;Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections
155;;Language;2011;1,48E+03;1480;Semi-supervised recursive autoencoders for predicting sentiment distributions
156;NLP from scratch;Language;2011;7,64E+03;7640;Natural Language Processing (Almost) from Scratch
157;Word Representations;Language;2010;2,51E+03;2510;Word Representations: A Simple and General Method for Semi-Supervised Learning
158;;Language;2010;2,27E+03;2270;Quantitative Analysis of Culture Using Millions of Digitized Books
159;;Language;2009;7,87E+02;787;Recognizing Contextual Polarity: An Exploration of Features for Phrase-Level Sentiment Analysis
160;;Language;2009;6,42E+03;6420;An Introduction to Latent Semantic Analysis
161;;Language;2008;5,76E+03;5760;A unified architecture for natural language processing: Deep neural networks with multitask learning
162;Stacked Semisuperviser Autoencoders;Language;2008;2,43E+02;243;Semisupervised learning of compact document representations with deep networks
163;;Language;2007;6,10E+03;6100;Moses: Open Source Toolkit for Statistical Machine Translation
164;λ-WASP;Language;2007;3,83E+02;383;Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus
165;Semantic Taxonomy Induction;Language;2006;5,71E+02;571;Semantic Taxonomy Induction from Heterogenous Evidence
166;Hiero;Language;2005;1,49E+03;1490;A Hierarchical Phrase-Based Model for Statistical Machine Translation
167;;Language;2004;4,75E+02;475;Finding Predominant Word Senses in Untagged Text
168;LDA;Language;2003;3,87E+04;38700;Latent Dirichlet Allocation
169;NPLM;Language;2003;7,63E+03;7630;A Neural Probabilistic Language Model
170;Phrase-based translation;Language;2003;4,27E+03;4270;Statistical Phrase-Based Translation
171;Thumbs Up?;Language;2002;1,07E+04;10700;Thumbs up? Sentiment Classification using Machine Learning Techniques
172;;Language;2002;2,58E+03;2580;Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms
173;;Language;2002;6,23E+02;623;A Phrase-Based, Joint Probability Model for Statistical Machine Translation
174;;Language;2002;1,41E+03;1410;Discriminative Training and Maximum Entropy Models for Statistical Machine Translation
175;;Language;2002;1,58E+04;15800;Bleu: a method for automatic evaluation of machine translation
176;Immediate trihead;Language;2001;4,22E+02;422;Immediate-Head Parsing for Language Models
177;;Language;2000;2,33E+03;2330;Automatic Labeling of Semantic Roles
178;;Language;2000;1,32E+03;1320;Improved Statistical Alignment Models
179;IBM Model 4;Language;1999;1,92E+03;1920;Statistical machine translation
180;;Language;1997;9,54E+02;954;Statistical language modeling using the CMU-Cambridge toolkit
181;HMM Word Alignment;Language;1996;1,10E+03;1100;HMM-Based Word Alignment in Statistical Translation
182;;Language;1995;3,00E+03;3000;Unsupervised Word Sense Disambiguation Rivaling Supervised Methods
183;;Language;1994;7,88E+02;788;Tagging English Text with a Probabilistic Model
184;IBM-5;Language;1993;5,75E+03;5750;The Mathematics of Statistical Machine Translation: Parameter Estimation
185;;Language;1991;1,72E+03;1720;Distributed representations, simple recurrent networks, and grammatical structure
186;Learning past tenses;Language;1986;3,18E+02;318;Learning the past tenses of English verbs: Implicit rules or parallel distributed processing?
187;;Language;1984;4,73E+03;4730;Language learnability and language development.
188;;VIsion;2017;4,00E+03;4000;Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising
189;DSN;VIsion;2015;1,94E+03;1940;Deeply-Supervised Nets
190;data2vec (vision);Vision;2022;1,80E+02;180;Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language
191;Imagen;Vision;2022;;;Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding
192;Meta Pseudo Labels;Vision;2021;3,93E+02;393;Meta pseudo labels
193;Transformer local-attention (NesT-B);Vision;2021;5,73E+03;5730;Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding
194;ViT-G/14;Vision;2021;3,02E+02;302;Scaling Vision Transformers
195;SEER;Vision;2021;1,38E+02;138;Self-supervised Pretraining of Visual Features in the Wild
196;;Vision;2020;1,42E+03;1420; Random Erasing Data Augmentation 
197;Once for All;Vision;2020;7,33E+02;733;Once for all: Train one network and specialize it for efficient deployment.
198;EfficientDet;Vision;2020;7,06E+02;706;EfficientDet: Scalable and Efficient Object Detection
199;ViT-H/14;Vision;2020;1,91E+03;1910;An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
200;ViT-Base/32;Vision;2020;7,29E+02;729;An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
201;ViT-Huge/14;Vision;2020;7,29E+02;729;An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
202;Decoupled weight decay regularization;Vision;2019;2,06E+03;2060;Decoupled weight decay regularization.
203;ProxylessNAS;Vision;2019;9,96E+02;996;ProxylessNAS: Direct neural architecture search on target task and hardware
204;;Vision;2019;1,99E+03;1990;Dual Attention Network for Scene Segmentation
205;ResNet-50 Billion-scale;Vision;2019;1,70E+03;1700;Language Models are Unsupervised Multitask Learners
206;ResNeXt-101 Billion-scale;Vision;2019;3,19E+02;319;Billion-scale semi-supervised learning for image classification
207;EfficientNet-L2;Vision;2019;3,19E+03;3190;EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks
208;MnasNet-A1 + SSDLite;Vision;2019;1,43E+03;1430;MnasNet: Platform-Aware Neural Architecture Search for Mobile
209;MnasNet-A3;Vision;2019;1,43E+03;1430;MnasNet: Platform-Aware Neural Architecture Search for Mobile
210;FixRes ResNeXt-101 WSL;Vision;2019;4,05E+02;405;Fixing the train-test resolution discrepancy
211;ObjectNet;Vision;2019;2,39E+03;2390;Objectnet: A large-scale bias-controlled dataset for pushing the limits of object recognition models
212;AlphaX-1;Vision;2019;7,20E+01;72;AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search
213;Noisy Student (L2);Vision;2019;5,76E+02;576;Self-training with Noisy Student improves ImageNet classification
214;;Vision;2019;1,96E+02;196;Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild
215;Big Transfer (BiT-L);Vision;2019;8,30E+01;83;Large scale learning of general visual representations for transfer
216;Refined Part Pooling;Vision;2018;1,24E+03;1240;Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline)
217;AmoebaNet-A (F=448);Vision;2018;1,71E+03;1710;Regularized Evolution for Image Classifier Architecture Search
218;AmoebaNet-A (F=190);Vision;2018;1,43E+03;1430;Regularized Evolution for Image Classifier Architecture Search
219;DeepLabV3+;Vision;2018;5,37E+03;5370;Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
220;;Vision;2018;2,74E+03;2740;Spectral Normalization for Generative Adversarial Networks
221;;Vision;2018;1,78E+03;1780;Residual Dense Network for Image Super-Resolution
222;YOLOv3;Vision;2018;7,71E+03;7710;YOLOv3: An Incremental Improvement
223;ResNeXt-101 32x48d;Vision;2018;6,19E+02;619;Exploring the Limits of Weakly Supervised Pretraining
224;MobileNetV2;Vision;2018;5,71E+03;5710;MobileNetV2: Inverted Residuals and Linear Bottlenecks
225;ShuffleNet v2;Vision;2018;1,41E+03;1410;ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design
226;;Vision;2018;1,80E+03;1800;Image Super-Resolution Using Very Deep Residual Channel Attention Networks
227;ESRGAN;Vision;2018;1,50E+03;1500;ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks
228;GPipe (Amoeba);Vision;2018;4,86E+02;486;GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism
229;;Vision;2017;3,57E+03;3570;Prototypical Networks for Few-shot Learning
230;Mask R-CNN;Vision;2017;1,50E+04;15000;Mask R-CNN
231;;Vision;2017;6,04E+03;6040;Improved Training of Wasserstein GANs
232;MobileNet;Vision;2017;9,19E+03;9190;MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications
233;;Vision;2017;1,01E+04;10100;DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs
234;;Vision;2017;7,18E+03;7180;Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network
235;;Vision;2017;3,98E+03;3980;Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset
236;;Vision;2017;3,07E+03;3070;Enhanced Deep Residual Networks for Single Image Super-Resolution
237;DeepLabV3;Vision;2017;3,90E+03;3900;Rethinking Atrous Convolution for Semantic Image Segmentation
238;;Vision;2017;4,17E+03;4170;GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium
239;ShuffleNet v1;Vision;2017;2,78E+03;2780;ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices
240;NASNet-A;Vision;2017;3,10E+03;3100;Learning Transferable Architectures for Scalable Image Recognition
241;;Vision;2017;6,07E+03;6070;Pyramid Scene Parsing Network
242;JFT;Vision;2017;1,14E+03;1140;Revisiting Unreasonable Effectiveness of Data in Deep Learning Era.
243;RetinaNet-R50;Vision;2017;8,42E+03;8420;Focal loss for dense object detection
244;RetinaNet-R101;Vision;2017;8,42E+03;8420;Focal loss for dense object detection
245;;Vision;2017;1,45E+03;1450;Improved Regularization of Convolutional Neural Networks with Cutout
246;SENet (ImageNet);Vision;2017;7,94E+03;7940;Squeeze-and-Excitation Networks
247;;Vision;2017;1,40E+03;1400;Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in vitro
248;CapsNet (MNIST);Vision;2017;2,74E+03;2740;Dynamic Routing Between Capsules
249;CapsNet (MultiMNIST);Vision;2017;2,74E+03;2740;Dynamic Routing Between Capsules
250;;Vision;2017;3,91E+03;3910;Progressive Growing of GANs for Improved Quality, Stability, and Variation
251;;Vision;2017;1,99E+03;1990;In Defense of the Triplet Loss for Person Re-Identification
252;PNAS-net;Vision;2017;1,15E+03;1150;Progressive Neural Architecture Search
253;;Vision;2016;2,42E+03;2420;Convolutional Pose Machines
254;Inceptionv4;Vision;2016;8,21E+03;8210;Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning
255;Inception-ResNet-V2;Vision;2016;8,21E+03;8210;Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning
256;SqueezeNet;Vision;2016;4,40E+03;4400;SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size
257;;Vision;2016;1,18E+03;1180;Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections
258;;Vision;2016;2,28E+03;2280;Convolutional Two-Stream Network Fusion for Video Action Recognition
259;R-FCN;Vision;2016;4,49E+03;4490;R-fcn: Object detection via region-based fully convolutional networks.
260;DenseNet-264;Vision;2016;1,78E+04;17800;Densely Connected Convolutional Networks
261;;Vision;2016;3,40E+03;3400;Joint Face Detection and Alignment using Multitask cascaded convolutional networks
262;Stacked hourglass network;Vision;2016;3,60E+03;3600;Stacked Hourglass Networks for Human Pose Estimation
263;;Vision;2016;6,89E+03;6890;Identity Mappings in Deep Residual Networks
264;;Vision;2016;2,62E+03;2620;Temporal Segment Networks: Towards Good Practices for Deep Action Recognition
265;MS-CNN;Vision;2016;1,32E+03;1320;A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection
266;Wide Residual Network;Vision;2016;4,52E+03;4520;Wide Residual Networks
267;Xception;Vision;2016;5,84E+03;5840;Xception: Deep Learning with Depthwise Separable Convolutions
268;NASv3 (CIFAR-10);Vision;2016;2,97E+03;2970;Neural Architecture Search with Reinforcement Learning
269;;Vision;2016;1,97E+03;1970;Deeply-Recursive Convolutional Network for Image Super-Resolution
270;ResNeXt-50;Vision;2016;4,80E+03;4800;Aggregated Residual Transformations for Deep Neural Networks
271;PolyNet;Vision;2016;1,88E+02;188;PolyNet: A Pursuit of Structural Diversity in Very Deep Networks
272;RefineNet;Vision;2016;2,06E+03;2060;RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation
273;;Vision;2016;6,06E+03;6060;Improved Techniques for Training GANs
274;;Vision;2016;3,54E+03;3540;Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs
275;YOLOv2;Vision;2016;9,37E+03;9370;YOLO9000: Better, Faster, Stronger
276;MSRA (C, PReLU);Vision;2015;1,41E+04;14100;Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition
277;;Vision;2015;2,66E+03;2660;Conditional Random Fields as Recurrent Neural Networks
278;Fast R-CNN;Vision;2015;1,58E+04;15800;Fast R-CNN
279;;Vision;2015;2,26E+03;2260;Beyond Short Snippets: Deep Networks for Video Classification
280;;Vision;2015;3,47E+03;3470;Action Recognition with Trajectory-Pooled Deep-Convolutional Descriptors
281;Faster R-CNN;Vision;2015;2,30E+04;23000;Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
282;GoogLeNet / InceptionV1;Vision;2015;3,28E+04;32800;Going deeper with convolutions
283;YOLO;Vision;2015;1,75E+04;17500;You Only Look Once: Unified, Real-Time Object Detection
284;;Vision;2015;5,84E+03;5840;Multi-Scale Context Aggregation by Dilated Convolutions
285;Inception v3;Vision;2015;1,47E+04;14700;Rethinking the inception architecture for computer vision.
286;ResNet-152 (ImageNet);Vision;2015;8,58E+04;85800;Deep Residual Learning for Image Recognition
